Wall time,Step,Value
1650382697.1388245,400,0.19779999554157257
1650383541.701048,800,0.07900000363588333
1650384385.826034,1200,0.06610000133514404
1650385230.2303221,1600,0.06159999966621399
1650386074.2314665,2000,0.050700001418590546
1650386923.1605632,2400,0.021199999377131462
1650387774.358906,2800,0.03420000150799751
1650388623.1981044,3200,0.0210999995470047
1650389467.2449944,3600,0.02160000056028366
1650390311.1676943,4000,0.03359999880194664
1650391158.3205397,4400,0.015799999237060547
1650392009.4005406,4800,0.008100000210106373
1650392859.8499582,5200,0.009100000374019146
1650393706.434565,5600,0.002300000051036477
1650394543.2960036,6000,0.001500000013038516
